language,morpheme_id,form,modern_usage,gloss
celtic_mix,brittonic:sarn,sarn,sarn,"Causeway, Roman road"
celtic_mix,brittonic:ynys,ynys,ynys,"Island, an island, island"
celtic_mix,celtic:abh,abh,Ow,"Brook, River, Stream"
celtic_mix,celtic:airc,airc,hark,Hardship
celtic_mix,celtic:airgid,airgid,arget,Silver
celtic_mix,celtic:airgid,airgid,argid,Silver
celtic_mix,celtic:allmhagh,allmhagh,Allo,Rocky plain
celtic_mix,celtic:aoil,aoil,iel,Lime
celtic_mix,celtic:aoire,aoire,eary,"Herder, Herdsmen, Shepherd"
celtic_mix,celtic:arracht,arracht,raght,Apparition
celtic_mix,celtic:austel,austel,Austel,"Austell (Name), Austol (Name)"
celtic_mix,celtic:austel,austel,Austell,"Austell (Name), Austol (Name)"
celtic_mix,celtic:aírd,aírd,Ar,"Height, Top of something"
celtic_mix,celtic:aírd,aírd,Ard,"Height, Top of something"
celtic_mix,celtic:aírd,aírd,Art,"Height, Top of something"
celtic_mix,celtic:aírd,aírd,ar,"Height, Top of something"
celtic_mix,celtic:bard,bard,vaird,Bard
celtic_mix,celtic:beaga,beaga,beg,"Little, Small"
celtic_mix,celtic:bechan,bechan,fechan,"Little, Small"
celtic_mix,celtic:bedd,bedd,Bed,"Grave, Pit, Quarry"
celtic_mix,celtic:belach,belach,Balla,"Mountain pass, Pass"
celtic_mix,celtic:bhaile,bhaile,Bal,"Estate, Farmstead, Homestead, Manor, Village"
celtic_mix,celtic:bhaile,bhaile,Ball,"Estate, Farmstead, Homestead, Manor, Village"
celtic_mix,celtic:bhaile,bhaile,Balla,"Estate, Farmstead, Homestead, Manor, Village"
celtic_mix,celtic:bhaile,bhaile,Balli,"Estate, Farmstead, Homestead, Manor, Village"
celtic_mix,celtic:bhaile,bhaile,Bally,"Estate, Farmstead, Homestead, Manor, Village"
celtic_mix,celtic:bharr,bharr,var,"Height, Top of something"
celtic_mix,celtic:bhfiadh,bhfiadh,vea,"Deer, Hind, Stag"
celtic_mix,celtic:bhfiadh,bhfiadh,veigh,"Deer, Hind, Stag"
celtic_mix,celtic:bhfuath,bhfuath,woo,"Demon, Evil spirit, Phantom, Spectre"
celtic_mix,celtic:bhile,bhile,bell,"Tree (holy, sacred)"
celtic_mix,celtic:bhile,bhile,villy,"Tree (holy, sacred)"
celtic_mix,celtic:bhileanach,bhileanach,Vilan,"Peasant, Serf, Villein"
celtic_mix,celtic:bhreac,bhreac,Brack,"Dapled, Speckled"
celtic_mix,celtic:bhreac,bhreac,brack,"Dapled, Speckled"
celtic_mix,celtic:bhràghaid,bhràghaid,vraid,"Brea, Upland"
celtic_mix,celtic:bhrúin,bhrúin,breen,Fairy hill
celtic_mix,celtic:bhóthair,bhóthair,Boher,"Lane, Path, Road, Street, Track, Way"
celtic_mix,celtic:blátha,blátha,blatha,Flowers
celtic_mix,celtic:boc,boc,Bucc,Buck
celtic_mix,celtic:boc,boc,Buck,Buck
celtic_mix,celtic:boc,boc,Bux,Buck
celtic_mix,celtic:bogach,bogach,Bog,"Bog, Marsh, Marshy, Mire, Moor, Quagmire, Swamp"
celtic_mix,celtic:bosells,bosells,Boswells,Boswells (Name)
celtic_mix,celtic:bref,bref,brefi,"Loud, Noisy"
celtic_mix,celtic:breig,breig,Breig,Breock (Name)
celtic_mix,celtic:breock,breock,Breock,Breock (Name)
celtic_mix,celtic:breock,breock,Breoke,Breock (Name)
celtic_mix,celtic:brieg,brieg,Briavels,Breock (Name)
celtic_mix,celtic:briog,briog,Briog,Breock (Name)
celtic_mix,celtic:briog,briog,Broic,Breock (Name)
celtic_mix,celtic:brog,brog,brog,"Area, District, Domain, Land, Market, Merchant, Precinct, Quarter, Trading area, Ward"
celtic_mix,celtic:bruic,bruic,bruic,Badger
celtic_mix,celtic:bruinsech,bruinsech,Beriana,Buryan (Name)
celtic_mix,celtic:bruinsech,bruinsech,Berriona,Buryan (Name)
celtic_mix,celtic:bruinsech,bruinsech,Beryan,Buryan (Name)
celtic_mix,celtic:bruinsech,bruinsech,Buriana,Buryan (Name)
celtic_mix,celtic:bruinsech,bruinsech,Buryan,Buryan (Name)
celtic_mix,celtic:buí,buí,boy,Yellow
celtic_mix,celtic:bàine,bàine,bain,"Holy, White"
celtic_mix,celtic:bàine,bàine,ban,"Holy, White"
celtic_mix,celtic:bàine,bàine,bane,"Holy, White"
celtic_mix,celtic:bàine,bàine,baun,"Holy, White"
celtic_mix,celtic:bàn,bàn,bawn,"Holy, White"
celtic_mix,celtic:bó,bó,Boul,"Bull, Calf, Cattle, Cow, Heifer, Steer"
celtic_mix,celtic:bó,bó,Bul,"Bull, Calf, Cattle, Cow, Heifer, Steer"
celtic_mix,celtic:bó,bó,bo,"Bull, Calf, Cattle, Cow, Heifer, Steer"
celtic_mix,celtic:bó,bó,bo,"Bull, Calf, Cattle, Cow, Heifer, Steer"
celtic_mix,celtic:caillighe,caillighe,callee,Hag
celtic_mix,celtic:caisteal,caisteal,Castle,"Castle, Fortress"
celtic_mix,celtic:canto,canto,canto,"Area, District, Domain, Land, Market, Merchant, Precinct, Quarter, Trading area, Ward"
celtic_mix,celtic:caolas,caolas,Kyle,Narrows
celtic_mix,celtic:caolas,caolas,Kyles,Narrows
celtic_mix,celtic:caorthainn,caorthainn,keeran,Rowan tree
celtic_mix,celtic:capel,capel,capel,"Abbey, Chapel, Church, Monastery, Temple"
celtic_mix,celtic:carden,carden,cardine,"Copse, Grove, Hill slope, Hillside"
celtic_mix,celtic:carrach,carrach,carragh,Rough
celtic_mix,celtic:carraig,carraig,Carrick,"Marking stone, Rock, Stone, Stony"
celtic_mix,celtic:cau,cau,gow,"Dale, Hollow, Vale, Valley"
celtic_mix,celtic:cdathrú,cdathrú,Carrow,"Area, District, Domain, Land, Market, Merchant, Precinct, Quarter, Trading area, Ward"
