category	language	canonical_form	etymon_id_or_suspected_fix
CORRUPTION	brittonic	cē¸d	etymon_id=4608522
CORRUPTION	middle-english	&	etymon_id=3088060
CORRUPTION	middle-english	& cetera	etymon_id=2962925
CORRUPTION	middle-english	^((please verify)) surgen	etymon_id=512779
CORRUPTION	old-english	*h8ema	etymon_id=4613676
CORRUPTION	old-english	6j^	etymon_id=4611397
CORRUPTION	old-english	6j^=	etymon_id=4611398
CORRUPTION	old-english	<i class="Latn mention" lang="ang">prūd</i>, <i class="Latn mention" lang="ang">prūt</i>	etymon_id=3257557
CORRUPTION	old-english	BeckeberwZe	etymon_id=4598406
CORRUPTION	old-english	DotDottr	etymon_id=4599889
CORRUPTION	old-english	Mæres <i class="Latn mention" lang="ang">ēa</i>	etymon_id=4573905
CORRUPTION	old-english	ceolfer&es	etymon_id=4611508
CORRUPTION	old-english	cl&fre	etymon_id=4611524
CORRUPTION	old-english	cl&te	etymon_id=4612029
CORRUPTION	old-english	l&g	etymon_id=4611781
CORRUPTION	old-english	m#d	etymon_id=4606904
CORRUPTION	old-english	m&r-deni4	etymon_id=4611808
CORRUPTION	old-english	mc&d	etymon_id=4611817
CORRUPTION	old-english	né&p	etymon_id=4613757
CORRUPTION	old-english	p&&	etymon_id=4611855
CORRUPTION	old-english	st&n	etymon_id=4613610
CORRUPTION	old-english	uo/^	etymon_id=4613616
CORRUPTION	old-english	wra^	etymon_id=4613625
CORRUPTION	old-norse	0yrr	etymon_id=4610883
CORRUPTION	old-norse	0ystri	etymon_id=4610884
CORRUPTION	old-norse	^&	etymon_id=4611920
CORRUPTION	old-norse	bro&ir	etymon_id=4611931
CORRUPTION	old-norse	kn^rr	etymon_id=4611971
CORRUPTION	old-norse	va6	etymon_id=4613813
INTENTIONAL_sense_suffix	goidelic	corr#bird	etymon_id=4617248
INTENTIONAL_sense_suffix	goidelic	corr#peak	etymon_id=4617247
INTENTIONAL_sense_suffix	middle-english	butt#Etymology 4	etymon_id=2940350
INTENTIONAL_sense_suffix	middle-english	halsen#Etymology_2_2	etymon_id=588008
INTENTIONAL_sense_suffix	middle-english	mewen#Verb_2	etymon_id=718249
