modern_usage,subject_idx,source_lang,source_lemma,glosses,n_bucket_mates,avg_cosine_to_mates,min_cosine_to_mate,max_cosine_to_mate,other_bucket_lemmas
-sea-,184,modern_english,sea,A large body of salt water. | sea,1,0.3406,0.3406,0.3406,celtic_mix:sea
-sea-,4236,celtic_mix,sea,yes (to copula questions),1,0.3406,0.3406,0.3406,modern_english:sea
-sea,184,modern_english,sea,A large body of salt water. | sea,1,0.3406,0.3406,0.3406,celtic_mix:sea
-sea,4236,celtic_mix,sea,yes (to copula questions),1,0.3406,0.3406,0.3406,modern_english:sea
Sea-,184,modern_english,sea,A large body of salt water. | sea,1,0.3406,0.3406,0.3406,celtic_mix:sea
Sea-,4236,celtic_mix,sea,yes (to copula questions),1,0.3406,0.3406,0.3406,modern_english:sea
-ham-,407,modern_english,ham,An enclosed pasture.,1,0.3472,0.3472,0.3472,old_french:ham
-ham-,710,old_french,ham,Homs | village,1,0.3472,0.3472,0.3472,modern_english:ham
-ham,407,modern_english,ham,An enclosed pasture.,1,0.3472,0.3472,0.3472,old_french:ham
-ham,710,old_french,ham,Homs | village,1,0.3472,0.3472,0.3472,modern_english:ham
Ham-,407,modern_english,ham,An enclosed pasture.,1,0.3472,0.3472,0.3472,old_french:ham
Ham-,710,old_french,ham,Homs | village,1,0.3472,0.3472,0.3472,modern_english:ham
-lac-,1627,old_french,lac,"body of water, lake",1,0.3563,0.3563,0.3563,celtic_mix:lac
-lac-,4122,celtic_mix,lac,"weak, feeble",1,0.3563,0.3563,0.3563,old_french:lac
Lac-,1627,old_french,lac,"body of water, lake",1,0.3563,0.3563,0.3563,celtic_mix:lac
Lac-,4122,celtic_mix,lac,"weak, feeble",1,0.3563,0.3563,0.3563,old_french:lac
Bran-,976,modern_english,bran,The ground husk of wheat,2,0.3604,0.3185,0.4024,celtic_mix:bran
-martin-,794,modern_english,martin,"Many of the various passerine birds of the family Hirundinidae, which also includes swallows, that catch insects whilst flying.",2,0.3634,0.3528,0.3739,modern_english:Martin; old_french:Martin
-martin,794,modern_english,martin,"Many of the various passerine birds of the family Hirundinidae, which also includes swallows, that catch insects whilst flying.",2,0.3634,0.3528,0.3739,modern_english:Martin; old_french:Martin
Martin-,794,modern_english,martin,"Many of the various passerine birds of the family Hirundinidae, which also includes swallows, that catch insects whilst flying.",2,0.3634,0.3528,0.3739,modern_english:Martin; old_french:Martin
-mell-,2030,celtic_mix,mell,"destruction, confusion",1,0.3683,0.3683,0.3683,
-mell-,3269,celtic_mix,mell,"pleasant, delightful",1,0.3683,0.3683,0.3683,
-mell,2030,celtic_mix,mell,"destruction, confusion",1,0.3683,0.3683,0.3683,
-mell,3269,celtic_mix,mell,"pleasant, delightful",1,0.3683,0.3683,0.3683,
-hen-,2569,modern_english,hen,"hen, chicken",2,0.3717,0.3502,0.3931,celtic_mix:hen
-hen,2569,modern_english,hen,"hen, chicken",2,0.3717,0.3502,0.3931,celtic_mix:hen
Hen-,2569,modern_english,hen,"hen, chicken",2,0.3717,0.3502,0.3931,celtic_mix:hen
Moll-,1182,old_english,Moll,a male given name | barley,1,0.3735,0.3735,0.3735,celtic_mix:moll
Moll-,2543,celtic_mix,moll,"heap; large amount, large number",1,0.3735,0.3735,0.3735,old_english:Moll
-sel-,2680,old_scandinavian,sel,"hut on a shieling | hut, shieling | shed on a mountain pasture",3,0.3762,0.3657,0.382,celtic_mix:sel; modern_english:sel; old_french:sel
-sel,2680,old_scandinavian,sel,"hut on a shieling | hut, shieling | shed on a mountain pasture",3,0.3762,0.3657,0.382,celtic_mix:sel; modern_english:sel; old_french:sel
Sel-,2680,old_scandinavian,sel,"hut on a shieling | hut, shieling | shed on a mountain pasture",3,0.3762,0.3657,0.382,celtic_mix:sel; modern_english:sel; old_french:sel
-fille-,321,modern_english,fille,A sufficient amount; the state of satiation.,1,0.379,0.379,0.379,old_french:fille
-fille-,1997,old_french,fille,daughter (female child),1,0.379,0.379,0.379,modern_english:fille
Fille-,321,modern_english,fille,A sufficient amount; the state of satiation.,1,0.379,0.379,0.379,old_french:fille
Fille-,1997,old_french,fille,daughter (female child),1,0.379,0.379,0.379,modern_english:fille
-lind-,1104,celtic_mix,lind,"a body of water: pool, lake",2,0.386,0.3775,0.3945,old_english:lind; old_scandinavian:lind
Lind-,1104,celtic_mix,lind,"a body of water: pool, lake",2,0.386,0.3775,0.3945,old_english:lind; old_scandinavian:lind
-gram,2426,celtic_mix,gram,gram (unit of mass),2,0.3866,0.3596,0.4137,modern_english:gram; old_english:gram
-hyl-,346,modern_english,hyl,"A unit of mass that is accelerated at a rate of 1 meter per second squared (1 m/s²) by a force of 1 kilogram-force, equivalent to 9.80665 kilograms. | hill",1,0.3906,0.3906,0.3906,
-hyl-,3005,modern_english,hyl,"mound, bank, hillock",1,0.3906,0.3906,0.3906,
Mat-,2933,celtic_mix,mat,mat (flat piece of coarse material used for wiping one’s feet or as a decorative or protective floor covering),3,0.3933,0.3455,0.4427,modern_english:mat; old_french:mat
-bas-,3517,celtic_mix,bas,sea bass,4,0.3964,0.3319,0.445,modern_english:bas; old_french:bas
Bas-,3517,celtic_mix,bas,sea bass,4,0.3964,0.3319,0.445,modern_english:bas; old_french:bas
-toll-,3229,celtic_mix,toll,"pierced, leaky",2,0.397,0.3746,0.4194,modern_english:toll; old_english:toll
-mad-,786,modern_english,mad,"Mad, insane, deranged; not of sound mind.",1,0.3972,0.3972,0.3972,celtic_mix:mad
-mad-,2410,celtic_mix,mad,good,1,0.3972,0.3972,0.3972,modern_english:mad
-scot-,911,celtic_mix,Scot,"Scot, Irishman",2,0.3972,0.3909,0.4036,modern_english:scot; old_english:scot
Scot-,911,celtic_mix,Scot,"Scot, Irishman",2,0.3972,0.3909,0.4036,modern_english:scot; old_english:scot
-cur-,2578,celtic_mix,cur,"hero, warrior",1,0.3975,0.3975,0.3975,
-cur-,3261,celtic_mix,cur,"planting, tillage",1,0.3975,0.3975,0.3975,
-cur,2578,celtic_mix,cur,"hero, warrior",1,0.3975,0.3975,0.3975,
-cur,3261,celtic_mix,cur,"planting, tillage",1,0.3975,0.3975,0.3975,
Cur-,2578,celtic_mix,cur,"hero, warrior",1,0.3975,0.3975,0.3975,
Cur-,3261,celtic_mix,cur,"planting, tillage",1,0.3975,0.3975,0.3975,
-aiden-,1018,modern_english,aiden,To aid.,1,0.398,0.398,0.398,celtic_mix:Aiden
-aiden-,1200,celtic_mix,Aiden,a male given name from Old Irish áed (“fire”),1,0.398,0.398,0.398,modern_english:aiden
-mol-,3536,celtic_mix,mol,shaft of a mill,2,0.3986,0.3757,0.4214,
Mol-,3536,celtic_mix,mol,shaft of a mill,2,0.3986,0.3757,0.4214,
-bran-,976,modern_english,bran,The ground husk of wheat,1,0.4024,0.4024,0.4024,celtic_mix:bran
-bran-,3379,celtic_mix,bran,raven,1,0.4024,0.4024,0.4024,modern_english:bran
Mell-,3269,celtic_mix,mell,"pleasant, delightful",2,0.4038,0.3683,0.4392,
-eng-,984,celtic_mix,eng,The name of the Latin script letter Ng/ng.,1,0.4056,0.4056,0.4056,old_scandinavian:eng
-eng-,2940,old_scandinavian,eng,meadow,1,0.4056,0.4056,0.4056,celtic_mix:eng
Eng-,984,celtic_mix,eng,The name of the Latin script letter Ng/ng.,1,0.4056,0.4056,0.4056,old_scandinavian:eng
Eng-,2940,old_scandinavian,eng,meadow,1,0.4056,0.4056,0.4056,celtic_mix:eng
-sol-,960,modern_english,sol,"The brightest and warmest celestial body, considered to be a planet in the Ptolemic system; the Sun (the center of our solar system).",2,0.4062,0.3452,0.4672,old_english:sol; old_french:sol
Sol-,960,modern_english,sol,"The brightest and warmest celestial body, considered to be a planet in the Ptolemic system; the Sun (the center of our solar system).",2,0.4062,0.3452,0.4672,old_english:sol; old_french:sol
-mere-,3001,old_french,mere,mother (female family member),2,0.4062,0.3566,0.4559,modern_english:mere; old_english:mere
-mere,3001,old_french,mere,mother (female family member),2,0.4062,0.3566,0.4559,modern_english:mere; old_english:mere
Mere-,3001,old_french,mere,mother (female family member),2,0.4062,0.3566,0.4559,modern_english:mere; old_english:mere
-egle-,2580,old_english,egle,hideous; loathsome; hateful; horrid; troublesome; grievous; painful,2,0.4062,0.391,0.4213,modern_english:egle; old_french:egle
Egle-,2580,old_english,egle,hideous; loathsome; hateful; horrid; troublesome; grievous; painful,2,0.4062,0.391,0.4213,modern_english:egle; old_french:egle
-edda-,1179,old_english,Edda,a male given name,1,0.4067,0.4067,0.4067,old_scandinavian:edda
-edda-,2447,old_scandinavian,edda,great-grandmother,1,0.4067,0.4067,0.4067,old_english:Edda
-edda,1179,old_english,Edda,a male given name,1,0.4067,0.4067,0.4067,old_scandinavian:edda
-edda,2447,old_scandinavian,edda,great-grandmother,1,0.4067,0.4067,0.4067,old_english:Edda
mor,2992,old_scandinavian,mor,moor | slaughter,1,0.409,0.409,0.409,celtic_mix:mor
mor,5055,celtic_mix,mor,Salt water | Sea | big | great | sea,1,0.409,0.409,0.409,old_scandinavian:mor
-les-,2201,modern_english,les,false; lying; deceptive,1,0.4097,0.4097,0.4097,celtic_mix:les
-les-,2761,celtic_mix,les,lace (light fabric patterned with holes),1,0.4097,0.4097,0.4097,modern_english:les
-les,2201,modern_english,les,false; lying; deceptive,1,0.4097,0.4097,0.4097,celtic_mix:les
-les,2761,celtic_mix,les,lace (light fabric patterned with holes),1,0.4097,0.4097,0.4097,modern_english:les
-cen-,517,old_english,cen,Cena | of Cenas | torch,1,0.4115,0.4115,0.4115,celtic_mix:cen
-cen-,3513,celtic_mix,cen,"scurf, dandruff",1,0.4115,0.4115,0.4115,old_english:cen
-hors-,2359,old_french,hors,from; out (of),2,0.4116,0.3849,0.4383,modern_english:hors; old_english:hors
Hors-,2359,old_french,hors,from; out (of),2,0.4116,0.3849,0.4383,modern_english:hors; old_english:hors
Mag-,1247,celtic_mix,mag,"a plain, field",1,0.4133,0.4133,0.4133,
Mag-,2363,celtic_mix,mag,fry (young fish),1,0.4133,0.4133,0.4133,
-tyn,3852,celtic_mix,tyn,"tight, taut",1,0.4137,0.4137,0.4137,modern_english:tyn
-tyn,3860,modern_english,tyn,tin (metal),1,0.4137,0.4137,0.4137,celtic_mix:tyn
Tyn-,3852,celtic_mix,tyn,"tight, taut",1,0.4137,0.4137,0.4137,modern_english:tyn
Tyn-,3860,modern_english,tyn,tin (metal),1,0.4137,0.4137,0.4137,celtic_mix:tyn
-ore-,210,old_english,ore,"A mine, place in which ore is dug | bank",2,0.4138,0.4132,0.4144,modern_english:ore; old_french:ore
-ore,210,old_english,ore,"A mine, place in which ore is dug | bank",2,0.4138,0.4132,0.4144,modern_english:ore; old_french:ore
Ore-,210,old_english,ore,"A mine, place in which ore is dug | bank",2,0.4138,0.4132,0.4144,modern_english:ore; old_french:ore
Mari-,1141,celtic_mix,Mari,"a female given name, equivalent to English Mary",1,0.4142,0.4142,0.4142,old_french:mari
Mari-,2678,old_french,mari,husband,1,0.4142,0.4142,0.4142,celtic_mix:Mari
-desert,998,modern_english,desert,The situation of deserving something.,1,0.4146,0.4146,0.4146,old_french:desert
-desert,2023,old_french,desert,desert (desolate terrain),1,0.4146,0.4146,0.4146,modern_english:desert
for,478,old_english,for,Boar | Hog | Pig | Pig sty,1,0.415,0.415,0.415,celtic_mix:for
for,2330,celtic_mix,for,"forward, exposed | over, on",1,0.415,0.415,0.415,old_english:for
-mana-,735,celtic_mix,Mana,Isle of Man (an island of the British Isles),1,0.4154,0.4154,0.4154,celtic_mix:mana
-mana-,3301,celtic_mix,mana,"portent, sign",1,0.4154,0.4154,0.4154,celtic_mix:Mana
