modern_usage,subject_idx,source_lang,source_lemma,glosses,n_glosses,avg_intra_pairwise_cosine,min_intra_pairwise_cosine,same_surface_other_lemmas,has_other_lemmas
Gip-,1222,old_english,Gip,"a male given name. | wide, spacious, broad",2,0.3665,0.3665,,False
cyrtla,553,old_english,cyrtla,Cyrtla | man (from his dress),2,0.3749,0.3749,,False
-rigg-,318,modern_english,rigg,"A strong, stormy wind (now chiefly in the phrase ""Michaelmas riggs""). | ridge",2,0.3754,0.3754,,False
-rigg,318,modern_english,rigg,"A strong, stormy wind (now chiefly in the phrase ""Michaelmas riggs""). | ridge",2,0.3754,0.3754,,False
mag,1310,old_english,mag,"a woman, maiden | son, descendant, kinsman",2,0.3778,0.3778,,False
ric,1711,germanic,ric,"brook, ditch, stream | king, master",2,0.3841,0.3841,,False
-wer-,4616,old_english,wer,Weir (fishing enclosure) | man,2,0.3885,0.3885,modern_english:wer,True
-wer,4616,old_english,wer,Weir (fishing enclosure) | man,2,0.3885,0.3885,modern_english:wer,True
Wer-,4616,old_english,wer,Weir (fishing enclosure) | man,2,0.3885,0.3885,modern_english:wer,True
-gear-,4617,old_english,gear,Weir (fishing enclosure) | year,2,0.3886,0.3886,,False
-gear,4617,old_english,gear,Weir (fishing enclosure) | year,2,0.3886,0.3886,,False
blīþe,2954,old_english,blīþe,"merry, pleasant | river name",2,0.397,0.397,,False
-tate-,839,modern_english,tate,"Of video games, a vertical mode. | a measure of land (about 60 acres)",2,0.4001,0.4001,,False
-tate,839,modern_english,tate,"Of video games, a vertical mode. | a measure of land (about 60 acres)",2,0.4001,0.4001,,False
Tate-,839,modern_english,tate,"Of video games, a vertical mode. | a measure of land (about 60 acres)",2,0.4001,0.4001,,False
-fallow-,669,modern_english,fallow,Ground ploughed and harrowed but left unseeded for one year. | dull-coloured yellow or yellowish,2,0.4018,0.4018,,False
Fallow-,669,modern_english,fallow,Ground ploughed and harrowed but left unseeded for one year. | dull-coloured yellow or yellowish,2,0.4018,0.4018,,False
-clyd-,534,celtic_mix,clyd,"Clydach (a village in Llanelly community, Monmouthshire, Wales) (OS grid ref SO2312). | sheltered",2,0.4041,0.4041,,False
-clydach,534,celtic_mix,Clydach,"Clydach (a village in Llanelly community, Monmouthshire, Wales) (OS grid ref SO2312). | sheltered",2,0.4041,0.4041,,False
Clyd-,534,celtic_mix,clyd,"Clydach (a village in Llanelly community, Monmouthshire, Wales) (OS grid ref SO2312). | sheltered",2,0.4041,0.4041,,False
Clydach-,534,celtic_mix,Clydach,"Clydach (a village in Llanelly community, Monmouthshire, Wales) (OS grid ref SO2312). | sheltered",2,0.4041,0.4041,,False
-ford-,195,modern_english,ford,"A location where a stream is shallow and the bottom has good footing, making it possible to cross from one side to the other with no bridge, by walking, riding, or driving through the water; a crossing. | ford",2,0.4069,0.4069,old_english:ford,True
-ford,195,modern_english,ford,"A location where a stream is shallow and the bottom has good footing, making it possible to cross from one side to the other with no bridge, by walking, riding, or driving through the water; a crossing. | ford",2,0.4069,0.4069,old_english:ford,True
Ford-,195,modern_english,ford,"A location where a stream is shallow and the bottom has good footing, making it possible to cross from one side to the other with no bridge, by walking, riding, or driving through the water; a crossing. | ford",2,0.4069,0.4069,old_english:ford,True
-low-,919,modern_english,low,"Situated close to, or even below, the ground or another normal reference plane; not high or lofty. | river name",2,0.4103,0.4103,,False
-low,919,modern_english,low,"Situated close to, or even below, the ground or another normal reference plane; not high or lofty. | river name",2,0.4103,0.4103,,False
Low-,919,modern_english,low,"Situated close to, or even below, the ground or another normal reference plane; not high or lofty. | river name",2,0.4103,0.4103,,False
-wode,785,modern_english,wode,"Mad, angry, crazy, insane, possessed, rabid, furious, frantic. | wood",2,0.4127,0.4127,,False
-law-,959,modern_english,law,"The body of binding rules and regulations, customs, and standards established in a community by its legislative and judicial authorities. | hill",2,0.4147,0.4147,,False
-law,959,modern_english,law,"The body of binding rules and regulations, customs, and standards established in a community by its legislative and judicial authorities. | hill",2,0.4147,0.4147,,False
Law-,959,modern_english,law,"The body of binding rules and regulations, customs, and standards established in a community by its legislative and judicial authorities. | hill",2,0.4147,0.4147,,False
-harper,158,modern_english,harper,"A harpist, especially one who plays a traditional harp without pedals. | harper",2,0.4178,0.4178,old_french:harper,True
Harper-,158,modern_english,harper,"A harpist, especially one who plays a traditional harp without pedals. | harper",2,0.4178,0.4178,old_french:harper,True
-crane-,425,modern_english,crane,"Any bird of the family Gruidae, large birds with long legs and a long neck which is extended during flight. | Crane (surname)",2,0.424,0.424,,False
wifel,4613,old_english,wifel,Weevil | Wifel,2,0.4249,0.4249,,False
-bolt-,59,modern_english,bolt,"A (usually) metal fastener consisting of a cylindrical body that is threaded, with a larger head on one end. It can be inserted into an unthreaded hole up to the head, with a nut then threaded on the other end; a heavy machine screw. | nickname",2,0.425,0.425,old_english:bolt,True
Bolt-,59,modern_english,bolt,"A (usually) metal fastener consisting of a cylindrical body that is threaded, with a larger head on one end. It can be inserted into an unthreaded hole up to the head, with a nut then threaded on the other end; a heavy machine screw. | nickname",2,0.425,0.425,old_english:bolt,True
-henry,726,modern_english,henry,"In the International System of Units, the derived unit of electrical inductance; the inductance induced in a circuit by a rate of change of current of one ampere per second and a resulting electromotive force of one volt. Symbol: H | personal name",2,0.4261,0.4261,,False
þrop,674,old_english,þrop,Hamlet | Outlying homestead,2,0.4294,0.4294,,False
Coppe-,302,modern_english,coppe,A spider. | hill-top,2,0.4299,0.4299,,False
-lep-,65,modern_english,lep,A basket; a bucket. | to leap,2,0.4303,0.4303,,False
-lepen-,65,modern_english,lepen,A basket; a bucket. | to leap,2,0.4303,0.4303,,False
-lepen,65,modern_english,lepen,A basket; a bucket. | to leap,2,0.4303,0.4303,,False
Lep-,65,modern_english,lep,A basket; a bucket. | to leap,2,0.4303,0.4303,,False
-lēas,2198,old_english,-lēas,false | meadow-land,2,0.431,0.431,,False
badh,2075,celtic_mix,badh,"drown, submerge | haugh",2,0.4317,0.4317,,False
-dry-,2078,old_english,dry,"dry | wizard, sorcerer",2,0.4342,0.4342,,False
-dry,2078,old_english,dry,"dry | wizard, sorcerer",2,0.4342,0.4342,,False
Dry-,2078,old_english,dry,"dry | wizard, sorcerer",2,0.4342,0.4342,,False
-brook-,1022,modern_english,brook,To bear; endure; support; put up with; tolerate. | brook,2,0.4345,0.4345,,False
-brook,1022,modern_english,brook,To bear; endure; support; put up with; tolerate. | brook,2,0.4345,0.4345,,False
Brook-,1022,modern_english,brook,To bear; endure; support; put up with; tolerate. | brook,2,0.4345,0.4345,,False
tota,3218,old_english,tota,"personal name | spy, look-out man",2,0.4362,0.4362,,False
-ange-,2435,old_english,ange,"grass-land | narrow, confined, tight",2,0.4365,0.4365,modern_english:ange,True
-ange,2435,old_english,ange,"grass-land | narrow, confined, tight",2,0.4365,0.4365,modern_english:ange,True
Ange-,2435,old_english,ange,"grass-land | narrow, confined, tight",2,0.4365,0.4365,modern_english:ange,True
hicca,696,old_english,hicca,Hicca's | personal name,2,0.4366,0.4366,,False
rach,2391,celtic_mix,rach,"girth, sanctuary | on a hill",2,0.4392,0.4392,,False
-corn-,4629,old_english,corn,"corn, a grain or seed | personal name",2,0.4396,0.4396,celtic_mix:corn; modern_english:corn; old_french:corn,True
-corn,4629,old_english,corn,"corn, a grain or seed | personal name",2,0.4396,0.4396,celtic_mix:corn; modern_english:corn; old_french:corn,True
Corn-,4629,old_english,corn,"corn, a grain or seed | personal name",2,0.4396,0.4396,celtic_mix:corn; modern_english:corn; old_french:corn,True
Fink-,104,modern_english,fink,A contemptible person. | finch,2,0.4437,0.4437,,False
sal,1701,celtic_mix,sal,"brine, salt water, brackish water | sallow (willow tree)",2,0.4441,0.4441,,False
col-,124,modern_english,col-,A dip on a mountain ridge between two peaks. | coal (from surface coal-working),2,0.4446,0.4446,,False
-bell-,235,modern_english,bell,"A percussive instrument made of metal or other hard material, typically but not always in the shape of an inverted cup with a flared rim, which resonates when struck. | a personal name",2,0.4466,0.4466,,False
-bell,235,modern_english,bell,"A percussive instrument made of metal or other hard material, typically but not always in the shape of an inverted cup with a flared rim, which resonates when struck. | a personal name",2,0.4466,0.4466,,False
Bell-,235,modern_english,bell,"A percussive instrument made of metal or other hard material, typically but not always in the shape of an inverted cup with a flared rim, which resonates when struck. | a personal name",2,0.4466,0.4466,,False
-enn-,2312,old_scandinavian,enn,"forehead | yet, still",2,0.4467,0.4467,,False
-enni-,2312,old_scandinavian,enni,"forehead | yet, still",2,0.4467,0.4467,,False
-enn,2312,old_scandinavian,enn,"forehead | yet, still",2,0.4467,0.4467,,False
